Sentence,Aspect Term,polarity,Aspect_Label,Sentiment_Label
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",tramezzinis,1,1425,1
"Have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners.",waiters,1,1036,1
"Have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners.",diners,2,1426,0
"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.",chef,1,1119,1
"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.",dishes,1,1058,1
"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.",cuisine,2,1049,0
"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.",Indian,1,1137,1
The owner truly caters to all your needs.,owner,1,1061,1
He takes real pride in his food and his business.,food,1,1031,1
"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe.",meal,1,1076,1
"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe.",pre-theater prix-fixe,1,1427,1
"Over the years, it has always provided a pleasurable dining experience with quality food and wine.",food,1,1031,1
"Over the years, it has always provided a pleasurable dining experience with quality food and wine.",wine,1,1063,1
"Over the years, it has always provided a pleasurable dining experience with quality food and wine.",dining,1,1092,1
"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",menu,1,1033,1
"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",fried chicken,2,1428,0
"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",pork chop,2,1429,0
"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",noodle dishes,2,1430,0
I cannot imagine better Indian food in all of the city.,Indian food,1,1123,1
Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,privacy,1,1431,1
Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,corner booth table,1,1432,1
Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,place,1,1074,1
I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,manager,0,1273,2
I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,open faced cheese sandwich,2,1433,0
very good breads as well.,breads,1,1434,1
"if this happens, just ask for real naan.",naan,2,1279,0
We were fans of the half-price Saturday night option until some inedible squid during a recent visit.,squid,0,1435,2
We were fans of the half-price Saturday night option until some inedible squid during a recent visit.,half-price Saturday night option,1,1436,1
"Pizza is terrific, as is homemade pasta.",Pizza,1,1153,1
"Pizza is terrific, as is homemade pasta.",homemade pasta,1,1437,1
This is a wonderful place on all stand points especially value ofr money.,value ofr money,1,1438,1
Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,soup,1,1439,1
Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,mushrooms,1,1440,1
There are other people waiting!,waiting,0,1125,2
"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.",beginning appetizers,1,1441,1
"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.",scallops,1,1442,1
"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.",chocolate souffle with rasberry mint sorbet,1,1443,1
"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.",taste,1,1146,1
Consistently good Japanese Tapas.,Japanese Tapas,1,1444,1
"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",fish,1,1162,1
"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",rice,1,1245,1
"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",seaweed,1,1445,1
"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",dishes,1,1058,1
"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",lamb sausages,1,1446,1
"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",sardines with biscuits,1,1447,1
"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",large whole shrimp,1,1448,1
"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",pistachio ice cream,1,1449,1
The food is reliable and the price is moderate.,food,1,1031,1
The food is reliable and the price is moderate.,price,2,37,0
"While the ambiance and atmosphere were great, the food and service could have been a lot better.",ambiance,1,1170,1
"While the ambiance and atmosphere were great, the food and service could have been a lot better.",atmosphere,1,1048,1
"While the ambiance and atmosphere were great, the food and service could have been a lot better.",food,0,1031,2
"While the ambiance and atmosphere were great, the food and service could have been a lot better.",service,0,34,2
The server was really cool and served us our food and drinks with a smile.,server,1,1109,1
The server was really cool and served us our food and drinks with a smile.,food,2,1031,0
The server was really cool and served us our food and drinks with a smile.,drinks,2,1046,0
The server was really cool and served us our food and drinks with a smile.,served,1,1152,1
We were in search of food and stumbled on this block of Indian restaurants on East Sixth Street.,food,2,1031,0
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",sushi,1,1065,1
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",thai food,1,1283,1
"Very excited to hear that short-term Chef Jason Narone has moved on, he truly was a low point of their Sterling track record.",Chef,0,1450,2
I had to share my table with a loud group of kids and the service was rude an unattentive.,service,0,34,2
I had to share my table with a loud group of kids and the service was rude an unattentive.,table,0,1087,2
The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,garlic,1,1210,1
The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,fresh tomatoes,1,1451,1
The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,sauce on the pizza,1,1452,1
"We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me.",outdoor seating,1,1453,1
"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",mesclun,1,1454,1
"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",salmon,1,1455,1
"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",ice cream,1,1456,1
"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",courses,1,1072,1
We were told that the wait was about twenty minutes and there would be no problem for our 8:00 pm curtain call.,wait,2,1305,0
The food is usually good but it certainly isn't a relaxing place to go.,food,1,1031,1
The food is usually good but it certainly isn't a relaxing place to go.,place,0,1074,2
"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",staff,1,282,1
"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",bistro fare,1,1457,1
"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",chilaquiles,1,1458,1
"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",jazz brunch,1,1459,1
"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",live jazz,1,1460,1
The prices were fantastic.,prices,1,829,1
"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",measures of liquers,1,1461,1
"The table service could have been a little more attentive but as someone who also works in the service industry, I understood they were busy.",service,2,34,0
"It's not mind-blowing, but to me, thai food never is and never will be.",thai food,2,1283,0
"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",Food,1,1149,1
"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",pork belly,0,1462,2
"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",fat,0,1463,2
"i've been to sapphire twice and both times the food was fine, if not good.",food,1,1031,1
It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,tables,0,1161,2
It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,dinner,1,1083,1
It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,place,1,1074,1
I love the fact that the pizza tastes so good and is so cheap.,pizza,1,1050,1
Nicky the Nose at the bar is a treat.,bar,2,1086,0
"Service was prompt, friendly and great.",Service,1,1133,1
"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",lamb chop,1,1464,1
"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",salads,1,1190,1
"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",lemon,1,1465,1
"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",extra virgnin olive oil,1,1466,1
The sushi was awful!,sushi,0,1065,2
You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here.,meal,1,1076,1
You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here.,dishes,1,1058,1
"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.",Pastrami sandwich,1,1467,1
"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.",beer,1,1468,1
"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.",pickles,1,1056,1
The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,plain pizza,0,1209,2
The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,truffle oil,2,1469,0
The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,wild mushroom(third generation-Fornini) pizza,1,1470,1
"Late nite omelletes are not good here, there is no variety!",omelletes,0,1471,2
"After all that, they complained to me about the small tip.",tip,0,1259,2
It's a great place to pick up a cheap lunch or dinner.,lunch,1,1082,1
It's a great place to pick up a cheap lunch or dinner.,dinner,1,1083,1
"Behind this counter, two men are squeezed in.",counter,0,1188,2
"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",fish,1,1162,1
"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",service,1,34,1
"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",Sushi fix,1,1472,1
"Our waitress was sweet and accomodating, not overbearing.",waitress,1,1160,1
Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,reservation sigh,2,1473,0
Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,table,0,1087,2
I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.,food,0,1031,2
"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",menu,0,1033,2
"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",food art,1,1474,1
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor atmosphere,1,1475,1
"A large is $20, and toppings are about $3 each.",toppings,2,1476,0
brick oven gallery is My pick for best pizza restaurant anywhere.,pizza,1,1050,1
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,1,34,1
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,1,1031,1
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,price,1,37,1
"For many people, this may not seem like Aunthentic Thai food because most places in NYC arent quite authentic.",Thai food,0,1079,2
"Growing up in NY, I have eaten my share of bagels.",bagels,2,1098,0
"Oh, don't even let me start with how expensive the bills were!",bills,0,1477,2
The scallion pancakes and fried dumplings were nothing out of the ordinary.,scallion pancakes,2,1478,0
The scallion pancakes and fried dumplings were nothing out of the ordinary.,fried dumplings,2,1479,0
"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",appetizers,1,1285,1
"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",salads,1,1190,1
"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",steak,1,1366,1
"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",pasta,1,1480,1
"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.",table,0,1087,2
"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.",served,0,1152,2
"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.",dishes,0,1058,2
"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.",table,0,1087,2
"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.",served,0,1152,2
"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.",bill,0,1281,2
Service is top notch.,Service,1,1133,1
The food now is inconsistent.,food,0,1031,2
"You can also special order any kind of dumpling,etc.",dumpling,1,1481,1
I was pretty much full after our fondue appetizer.,fondue appetizer,2,1482,0
BE CAREFUL before you request extra spice.,spice,2,1483,0
The octopus eaters were floored by the Octopus salad.,Octopus salad,1,1484,1
We thought that this place is using too much of MSG cooking in the foods.,foods,0,1171,2
We thought that this place is using too much of MSG cooking in the foods.,MSG cooking,0,1485,2
And the Tom Kha soup was pathetic.,Tom Kha soup,0,1486,2
I started out with a Bombay beer which was big enough for two.,Bombay beer,1,1487,1
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",decor,1,1322,1
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",dining hall,1,1488,1
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",semi-private boths,1,1489,1
Service was quick.,Service,1,1133,1
Drawbacks: service is slow and they don't toast!,service,0,34,2
Went there for an office lunch.,office lunch,2,1490,0
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,sweet lassi,1,1491,1
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,lamb chettinad,1,1492,1
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,garlic naan,1,1493,1
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,rasamalai,0,1494,2
"We've been following chef Lyle's food around New York for 15 years and while remaining classic, his innovations with bistro fare have made us return and return.",bistro fare,1,1457,1
"We've been following chef Lyle's food around New York for 15 years and while remaining classic, his innovations with bistro fare have made us return and return.",chef,1,1119,1
"We've been following chef Lyle's food around New York for 15 years and while remaining classic, his innovations with bistro fare have made us return and return.",food,1,1031,1
The best thing I tasted were the lambchops.,lambchops,1,1495,1
The spicy tuna and salmon are the best we've ever had.,spicy tuna,1,1496,1
The spicy tuna and salmon are the best we've ever had.,salmon,1,1455,1
"Even though its good seafood, the prices are too high.",seafood,1,1301,1
"Even though its good seafood, the prices are too high.",prices,0,829,2
"In addition, the food is very good and the prices are reasonable.",food,1,1031,1
"In addition, the food is very good and the prices are reasonable.",prices,1,829,1
"Upon entering, we were greeted by the owners, Steven and Frederick, who went out of their way to be more than gracious hosts.",owners,1,1341,1
"Upon entering, we were greeted by the owners, Steven and Frederick, who went out of their way to be more than gracious hosts.",hosts,1,1497,1
Been going here since it opened have seen the quality value decrease considerably.,quality value,0,1498,2
"Meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices.",Meat dishes,2,1499,0
"Meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices.",vegetarian-friendly choices,1,1500,1
Reasonable prices.,prices,1,829,1
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,amuse bouche,1,1501,1
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,dessert,1,1221,1
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,tables,1,1161,1
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,service,1,34,1
"Try the crunchy tuna, it is to die for.",crunchy tuna,1,1502,1
It won't break the bank but I also wouldnt come back for the food.,food,0,1031,2
"All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.",sushi,1,1065,1
It is a lot of fun with live entertainment and all kinds of Disney type special effects.,live entertainment,1,1503,1
It is a lot of fun with live entertainment and all kinds of Disney type special effects.,special effects,1,1504,1
"if you're looking for perfect traditional sushi, go here - if you're looking for interesting combinations, try sushi of gari's (east side).",sushi,1,1065,1
"if you're looking for perfect traditional sushi, go here - if you're looking for interesting combinations, try sushi of gari's (east side).",sushi,1,1065,1
"No refills on fountain drinks, though.",fountain drinks,0,1505,2
Wow over 100 beers to choose from.,beers,1,1216,1
Be careful of portions - they're HUGE.,portions,1,1230,1
"The Steak Tartare is a great bet, they fix it for you at the table.",Steak Tartare,1,1506,1
My first time there I happened not to like the Crab Croquette apt that i ordered and they were happy to change it for me without making no big deal.,Crab Croquette apt,0,1507,2
Great for large groups and celebrations - our SUPER HAPPY waiter was the entertainment of the evening.,waiter,1,1296,1
Did I mention the wine?,wine,2,1063,0
"Plus, on Wednesday nights the house wine is unlimited!",house wine,1,1508,1
like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan.,bread,0,1419,2
The dim sum servings here are a bit larger than I'm used to.,dim sum servings,2,1509,0
"However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.",management,2,1326,0
"However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.",door,1,1354,1
"However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.",glass front,0,1510,2
We won't go to this place again for a good meal.,meal,0,1076,2
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",Barbecued codfish,1,1511,1
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",seasoning,0,1340,2
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",spice rub,0,1512,2
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",herb mix,0,1513,2
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",sauce,0,1514,2
"After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.",dance floor,1,1515,1
"After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.",dinner,2,1083,0
Taj Mahal offeres gret value and great food.,value,1,60,1
Taj Mahal offeres gret value and great food.,food,1,1031,1
Has the chef and owner changed???,chef,2,1119,0
Has the chef and owner changed???,owner,2,1061,0
My boyfriend and I recently had an early dinner at Artisanal and was satisfied with our experience.,dinner,1,1083,1
"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",bacon,0,1042,2
"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",platter,0,1516,2
"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",in sandwiches,0,1517,2
"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",frying,0,1518,2
"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",bacos,0,1519,2
"Outstanding Bagels, but you get what you pay for.",Bagels,1,1039,1
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",Pizza,1,1153,1
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",crust,1,1142,1
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",pizza,1,1050,1
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",toppings,2,1476,0
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",bread,1,1419,1
"I found it on a cold night, the perfect spot to warm up.",spot,1,1375,1
They even have a section in the menu called American Chinese food!,menu,0,1033,2
They even have a section in the menu called American Chinese food!,American Chinese food,0,1520,2
"Service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared.",Service,1,1133,1
"Service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared.",beef carpaachio,1,1521,1
"Service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared.",pasta,1,1480,1
"Service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared.",portion,1,1257,1
kalbi and nebbiolo do work together.,kalbi,2,1522,0
kalbi and nebbiolo do work together.,nebbiolo,2,1523,0
"Best Italian food I ever had (and being Italian, that means alot).",Italian food,1,1328,1
I will recommend Scopa to all of my friends for a place to go for wonderful Italian food.,Italian food,1,1328,1
Located at the end of a magnificent block.,Located,1,1524,1
"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",meal,1,1076,1
"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",room,2,1396,0
"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",clubhouse,0,1525,2
They don't walk around with the trays of Dim Sum.,trays of Dim Sum,2,1526,0
"Great bar, most gorgeous bartenders you've ever seen (specifically the blond lady).",bar,1,1086,1
"Great bar, most gorgeous bartenders you've ever seen (specifically the blond lady).",bartenders,1,1527,1
We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,dessert,2,1221,0
We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,waitress,0,1160,2
We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,bill,2,1281,0
I really loved the different and inovated touch that's the cheff gives to the food.,cheff,1,1528,1
I really loved the different and inovated touch that's the cheff gives to the food.,food,1,1031,1
They came out over cooked and the cheese was almost non existant.,cheese,0,1043,2
"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",meal,1,1076,1
"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",server,1,1109,1
"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",wine,1,1063,1
"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",wine,0,1063,2
"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",price range,1,257,1
"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",priced,2,336,0
"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",svc,0,1529,2
"The food is good, especially their more basic dishes, and the drinks are delicious.",food,1,1031,1
"The food is good, especially their more basic dishes, and the drinks are delicious.",dishes,1,1058,1
"The food is good, especially their more basic dishes, and the drinks are delicious.",drinks,1,1046,1
But the main hit was the whole grilled fish.,whole grilled fish,1,1530,1
"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",tuna tartare,1,1531,1
"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",sake,1,1207,1
"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",mushroom ravioli,1,1532,1
"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",pinot noir,1,1533,1
"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",chocolate sampler,1,1534,1
"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",dessert wine,1,1535,1
On a hot day it was fabulous to stop in and enjoy lunch.,lunch,1,1082,1
The food is delicious and beautifully prepared along with the friendly and personable service.,food,1,1031,1
The food is delicious and beautifully prepared along with the friendly and personable service.,service,1,34,1
I usually go there later at night when I get off work so I don't have to deal with crowds or lines.,lines,0,1536,2
I usually go there later at night when I get off work so I don't have to deal with crowds or lines.,crowds,0,1537,2
Pizza here is consistently good.,Pizza,1,1153,1
We had a great tiem watching the shows and characters and ar food was just what we were looking for.,shows,1,1538,1
We had a great tiem watching the shows and characters and ar food was just what we were looking for.,food,1,1031,1
We had a great tiem watching the shows and characters and ar food was just what we were looking for.,characters,1,1539,1
"After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",waiter,0,1296,2
"After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",beers,2,1216,0
"After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",manager,0,1273,2
"After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",reservations,1,1114,1
Wouldn't recomend it for dinner!,dinner,0,1083,2
Sauce was watery and the food didn't have much flavor.,Sauce,0,1540,2
Sauce was watery and the food didn't have much flavor.,food,0,1031,2
Sauce was watery and the food didn't have much flavor.,flavor,0,1275,2
My husband and I enjoy Sangria.,Sangria,1,1541,1
"But after last night, Spice Grill is the only place I'm eating indian cuisine.",indian cuisine,1,1542,1
